Year,Avg Income (Male),Avg Income (Female)
2002,29240,16810
2003,29930,17260
2004,30520,17670
2005,31280,18580
2006,32270,20010
2007,33200,20920
2008,33160,20870
2009,32180,20960
2010,32210,20780
2011,32990,21100
2012,33900,21520
2013,35230,22130
2014,36300,22240
2015,37140,23770
2016,38870,24890
2017,40400,25900
2018,41620,27080
2019,44310,29410
2020,42700,29410
2021,45920,30940
2022,48450,32790
